cell_id,source,axis_tuple,cell,seed,pre_leakage_fmax,pre_leakage_dataset,target_eval_set,estimated_runtime_minutes,priority,status,notes
study_v9_abl_pk-mfo_drop_knn_vote,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn_vote,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.094453,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn_vote family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_length,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_length,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.104849,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop length family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_taxonomy_pair,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_taxonomy_pair,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.104544,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop taxonomy_pair family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_taxonomy_voters,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_taxonomy_voters,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.105757,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop taxonomy_voters family. Validates feature importance on leakage-free eval.
study_v9_hp_L127_lr003_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr003_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.449212,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr003_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr003_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr003_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.443121,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr003_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr003_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr003_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.466910,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr003_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr005_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr005_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.455021,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr005_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr005_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr005_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.450281,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr005_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr005_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr005_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.464379,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr005_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr01_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr01_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.438613,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr01_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr01_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr01_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.448372,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr01_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L127_lr01_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L127_lr01_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.463358,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L127_lr01_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr003_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr003_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.445625,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr003_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr003_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr003_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.443314,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr003_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr003_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr003_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.461310,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr003_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr005_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr005_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.446259,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr005_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr005_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr005_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.447602,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr005_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr005_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr005_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.463013,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr005_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr01_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr01_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.451861,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr01_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr01_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr01_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.445152,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr01_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L31_lr01_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L31_lr01_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.462791,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L31_lr01_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr003_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr003_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.445590,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr003_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr003_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr003_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.454657,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr003_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr003_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr003_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.462907,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr003_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr005_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr005_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.450442,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr005_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr005_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr005_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.446631,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr005_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr005_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr005_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.464910,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr005_nprnone. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr01_npr10,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr01_npr10,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.454127,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr01_npr10. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr01_npr5,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr01_npr5,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.446681,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr01_npr5. Validates best hparams still optimal on leakage-free eval.
study_v9_hp_L63_lr01_nprnone,study_v9_hparam,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.hparam=L63_lr01_nprnone,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.463380,bench-v1-K5,bench-v1-K5-filtered,10,3,pending,Hparam sweep point: L63_lr01_nprnone. Validates best hparams still optimal on leakage-free eval.
